figure_number,figure_title,research_section,source_data,sample_count,figure_filename,generation_status,main_finding,important_limitation
1,Dataset split distribution,Dataset and annotation analysis,metadata/split_summary.csv,802,01_dataset/figure_01_dataset_split_distribution.png,generated,"The prepared dataset contains 602 train, 120 validation, and 80 test images.",Counts are image-level; target eligibility is lower.
2,Semantic class distribution,Dataset and annotation analysis,reports/class_distribution.csv,28655,01_dataset/figure_02_semantic_class_distribution.png,generated,Ridge annotations are the most numerous class.,Annotation instances are not independent image samples.
3,Image resolution distribution,Dataset and annotation analysis,reports/image_properties.csv,803,01_dataset/figure_03_image_resolution_distribution.png,generated,All audited images have the recorded image dimensions.,The audit includes an extra checkpoint image noted in data-quality outputs.
4,Polygon area distribution by class,Dataset and annotation analysis,reports/polygon_quality_checks.csv,28655,01_dataset/figure_04_polygon_area_distribution_by_class.png,generated,Polygon areas vary substantially across semantic classes.,Areas are normalized image fractions and may overlap spatially.
5,Annotation density,Dataset and annotation analysis,reports/annotation_statistics.csv,803,01_dataset/figure_05_annotation_density.png,generated,Annotation density is heterogeneous across images.,One audit-only checkpoint image may be represented.
6,Annotation quality analysis,Dataset and annotation analysis,reports/polygon_quality_checks.csv,28655,01_dataset/figure_06_annotation_quality_analysis.png,generated,28655 polygon rows satisfy row and area checks; 216 are flagged suspicious.,Flagged/suspicious can overlap valid rows.
7,Representative annotated dataset samples,Dataset and annotation analysis,figures/annotated_samples.png,,01_dataset/figure_07_representative_annotated_dataset_samples.png,generated,Panel is a previously generated dataset-audit visualization.,Recovered image; its original selection protocol is documented only in Phase A.
8,Segmentation training curves,Segmentation and navigation targets,Not available in supplied executed outputs,,,requires additional evaluation,,Epoch-level segmentation training logs are absent; baseline metrics say not_trained.
9,Segmentation precision and recall,Segmentation and navigation targets,Not available in supplied executed outputs,,,requires additional evaluation,,Segmentation baseline is explicitly not_trained.
10,Segmentation mAP comparison,Segmentation and navigation targets,Not available in supplied executed outputs,,,requires additional evaluation,,Segmentation baseline is explicitly not_trained.
11,Ground truth versus predicted masks,Segmentation and navigation targets,Not available in supplied executed outputs,,,requires additional evaluation,,No segmentation predictions or masks were supplied.
12,Segmentation failure cases,Segmentation and navigation targets,Not available in supplied executed outputs,,,requires additional evaluation,,No segmentation inference/failure records were supplied.
13,Directional navigation-target distribution,Segmentation and navigation targets,tabular/classification_targets.csv,154,02_segmentation_navigation/figure_13_directional_navigation_target_distribution.png,generated,"Only left, forward, and right occur among eligible classification targets; labels are derived navigation targets.",No physical STOP command is established; stop_or_uncertain has no eligible records.
